 Name,Image,Short Description,Destination,Trip Start Date,Trip End Date,Travel Details,User is Going,vedio,Created,Updated
Family Adventure in Paris,"{'url':'19fd708468807a054e1fef27fc5fa3bc1e2db9220f6d7d18cd38a80df5ca5741.jpg','size':391985,'width':1920,'height':1282,'filename':'mika-baumeister-9_PLAFbXois-unsplash (1).jpg'}","Create unforgettable memories with your family on this fun-filled Parisian adventure. Discover the city's top attractions, including the Eiffel Tower, Louvre Museum, and Notre-Dame Cathedral, with engaging and interactive tours tailored for children. Enjoy the excitement of Disneyland Paris, just a short train ride away, and explore the fascinating Cité des Sciences et de l'Industrie, a cutting-edge science museum. 

Spend an afternoon in the enchanting Luxembourg Gardens, complete with playgrounds, puppet shows, and carousel rides. Savor scrumptious treats at local patisseries and crêperies, making your family vacation to Paris a delightful experience for all ages.","Paris, France",2024-01-22,2024-02-03,"Paris, the enchanting City of Light, is a must-visit destination for travelers worldwide. Before embarking on your journey to this captivating city, here are some important travel details to ensure a seamless experience:

1. Passport & Visa: Ensure that your passport is valid for at least three months beyond your planned departure date. Citizens of many countries can visit France for short stays (up to 90 days) without a visa, but it's crucial to verify your country's specific requirements beforehand. 

2. Best Time to Visit: Paris is a year-round destination, but the optimal time to visit is during the shoulder seasons (April to June and September to October) when the weather is pleasant, and tourist crowds are thinner. 

3. Currency: The currency used in France is the Euro (€). Credit cards are widely accepted, but it's essential to carry some cash for smaller establishments or emergencies. 

4. Language: French is the official language. While many Parisians speak English, learning basic French phrases can enhance your experience and show respect for the local culture.

5. Transportation: Paris boasts an efficient and extensive public transportation system, including the Métro, buses, and RER trains. 

6. Safety: Paris is generally safe, but, as in any major city, it's essential to remain vigilant and aware of your surroundings.",TRUE,https://www.youtube.com/embed/EkshFcLESPU?si=i79lgVPIL8FMmQ8t,2023-04-18T20:49:03.889Z,2024-03-24T05:43:19.921Z
Ancient Rome Exploration,"{'url':'fa37ce1b75bb65fb1cd36347309a07c7397e8bf62fe9fbe02df60ceddcefcad9.jpg','size':512346,'width':1920,'height':1272,'filename':'chris-czermak-7ybKmhDTcz0-unsplash.jpg'}","Step back in time on this immersive journey into the heart of ancient Rome. Explore iconic landmarks like the Colosseum, Roman Forum, and Palatine Hill, uncovering the secrets of the once-great empire. Wander through the historic streets of the Trastevere neighborhood and visit lesser-known sites like the Baths of Caracalla and the Appian Way. 

Complete your time-travel experience with a day trip to the ruins of Ostia Antica, Rome's ancient port city, and the preserved archaeological site of Pompeii, offering a fascinating glimpse into the daily life of ancient Romans.","Rome, Italy",2023-09-18,2023-09-22,"The Eternal City, Rome, is a treasure trove of history, culture, and world-famous cuisine. To make the most of your Roman adventure, here are some important travel details to keep in mind:

1. Passport & Visa: Ensure your passport is valid for at least six months beyond your planned departure date. Citizens of many countries can enter Italy for short stays (up to 90 days) without a visa, but it's essential to verify your country's specific requirements beforehand. 

2. Best Time to Visit: Rome is a year-round destination, but the optimal time to visit is during the shoulder seasons (April to June and September to October), when the weather is mild, and tourist crowds are thinner. 

3. Currency: Italy uses the Euro (€) as its currency. Credit cards are widely accepted, but it's essential to carry some cash for smaller establishments, street vendors, or emergencies. 

4. Language: Italian is the official language. While many Romans speak English, learning basic Italian phrases can enhance your experience and show respect for the local culture. 

5. Transportation: Rome's public transportation system includes buses, trams, and the metro. Purchasing a Roma Pass or a BIT ticket provides access to unlimited travel within specified zones. 

6. Safety: Rome is generally safe, but, as in any major city, it's essential to remain vigilant and aware of your surroundings.",FALSE,https://www.youtube.com/embed/GyV_0prNVVc?si=oWURvRe4WzdA_Oko,2023-04-18T20:49:03.877Z,2024-03-24T05:44:46.045Z
Rome's Art & Architecture Odyssey,"{'url':'2dc94c2cc91a56ef34c5ebfd522a7c2aa8c37f14138ac9221880ab1f64af7109.jpg','size':725416,'width':1920,'height':1280,'filename':'michele-bitetto-2y6ojwauKJI-unsplash.jpg'}","Immerse yourself in Rome's artistic and architectural masterpieces on this inspiring vacation. Marvel at the breathtaking frescoes in the Vatican Museums, including the Sistine Chapel, and explore the majestic St. Peter's Basilica. Visit other awe-inspiring churches, such as the Basilica of Santa Maria Maggiore, the Pantheon, and the Church of San Luigi dei Francesi, home to Caravaggio's masterpieces. 

Discover Rome's contemporary art scene at the MAXXI museum and visit the stunning Galleria Borghese. Wander through picturesque piazzas like Piazza Navona and Piazza di Spagna, admiring the city's iconic fountains and elegant architecture.","Rome, Italy",2023-12-04,2023-12-15,"The Eternal City, Rome, is a treasure trove of history, culture, and world-famous cuisine. To make the most of your Roman adventure, here are some important travel details to keep in mind:

1. Passport & Visa: Ensure your passport is valid for at least six months beyond your planned departure date. Citizens of many countries can enter Italy for short stays (up to 90 days) without a visa, but it's essential to verify your country's specific requirements beforehand. 

2. Best Time to Visit: Rome is a year-round destination, but the optimal time to visit is during the shoulder seasons (April to June and September to October), when the weather is mild, and tourist crowds are thinner. 

3. Currency: Italy uses the Euro (€) as its currency. Credit cards are widely accepted, but it's essential to carry some cash for smaller establishments, street vendors, or emergencies. 

4. Language: Italian is the official language. While many Romans speak English, learning basic Italian phrases can enhance your experience and show respect for the local culture. 

5. Transportation: Rome's public transportation system includes buses, trams, and the metro. Purchasing a Roma Pass or a BIT ticket provides access to unlimited travel within specified zones. 

6. Safety: Rome is generally safe, but, as in any major city, it's essential to remain vigilant and aware of your surroundings.",FALSE,https://www.youtube.com/embed/GyV_0prNVVc?si=oWURvRe4WzdA_Oko,2023-04-18T20:49:03.866Z,2024-03-24T05:45:00.976Z
Rome's Culinary Adventure,"{'url':'4a51627b2ac2bc6a12e67f18cb73b4c6cd409a6dabca6b146f748465b5a99526.jpg','size':447284,'width':1920,'height':1280,'filename':'josh-hild-v4LQkXJPK0o-unsplash (1).jpg'}","Embark on a gastronomic journey through the Eternal City on this culinary-themed vacation. Indulge in Rome's authentic cuisine, from classic pasta dishes like cacio e pepe and carbonara to mouthwatering gelato and tiramisu. Discover local food markets, such as Campo de' Fiori and Testaccio Market, where you can sample regional delicacies and fresh produce. 

Participate in a hands-on cooking class, learning to create traditional Italian dishes from expert chefs. Complete your Roman culinary experience with wine tastings at nearby vineyards in the Frascati or Castelli Romani regions, and dine at both rustic trattorias and Michelin-starred restaurants, savoring the flavors of Italy.","Rome, Italy",2024-03-17,2024-03-27,"The Eternal City, Rome, is a treasure trove of history, culture, and world-famous cuisine. To make the most of your Roman adventure, here are some important travel details to keep in mind:

1. Passport & Visa: Ensure your passport is valid for at least six months beyond your planned departure date. Citizens of many countries can enter Italy for short stays (up to 90 days) without a visa, but it's essential to verify your country's specific requirements beforehand. 

2. Best Time to Visit: Rome is a year-round destination, but the optimal time to visit is during the shoulder seasons (April to June and September to October), when the weather is mild, and tourist crowds are thinner. 

3. Currency: Italy uses the Euro (€) as its currency. Credit cards are widely accepted, but it's essential to carry some cash for smaller establishments, street vendors, or emergencies. 

4. Language: Italian is the official language. While many Romans speak English, learning basic Italian phrases can enhance your experience and show respect for the local culture. 

5. Transportation: Rome's public transportation system includes buses, trams, and the metro. Purchasing a Roma Pass or a BIT ticket provides access to unlimited travel within specified zones. 

6. Safety: Rome is generally safe, but, as in any major city, it's essential to remain vigilant and aware of your surroundings.",TRUE,https://www.youtube.com/embed/GyV_0prNVVc?si=oWURvRe4WzdA_Oko,2023-04-18T20:49:03.856Z,2024-03-24T05:45:15.533Z
Iconic New York City Highlights,"{'url':'37442a55b7c465f9ca3c38443d09e182cde8523c686e7a57ee01dce5b62cea09.jpg','size':508597,'width':1920,'height':1280,'filename':'luca-bravo-_QdFx92MO2U-unsplash (2).jpg'}","Experience the best of the Big Apple on this vacation focused on New York City's iconic attractions. Visit renowned landmarks such as the Statue of Liberty, Empire State Building, and Times Square. Explore Central Park's winding paths and lush landscapes, and immerse yourself in the city's history at the 9/11 Memorial and Museum. 

Discover world-class museums, including the Metropolitan Museum of Art, the Museum of Modern Art, and the American Museum of Natural History. Catch a dazzling Broadway show and savor diverse cuisine at the city's finest restaurants, making your NYC adventure truly unforgettable.","New York City, USA",2024-06-25,2024-06-30,"New York City, the bustling metropolis known as the ""City That Never Sleeps,"" offers a wealth of experiences for travelers. To ensure a smooth and unforgettable visit, keep these important travel details in mind:

1. Passport & Visa: Make sure your passport is valid for at least six months beyond your planned departure date. Visitors from many countries can enter the US for short stays (up to 90 days) under the Visa Waiver Program.

2. Best Time to Visit: New York City is a year-round destination, but the optimal time to visit is during the spring (April to June) and fall (September to November), when the weather is mild and the city's parks showcase their beautiful foliage. 

3. Currency: The currency used in the United States is the US Dollar (USD). Credit cards are widely accepted, but it's essential to carry some cash for smaller establishments, street vendors, or emergencies. 

4. Language: English is the primary language spoken in New York City. However, due to its diverse population, you'll also hear many other languages spoken throughout the city. 

5. Transportation: New York City boasts an extensive public transportation system, including subways, buses, and ferries. Purchasing a MetroCard provides access to unlimited travel within specified zones.

6. Safety: New York City is generally safe, but, as in any major city, it's essential to remain vigilant and aware of your surroundings. 
",TRUE,https://www.youtube.com/embed/0qtdheM1cGw?si=HjdBpXOA63A9CFrU,2023-04-18T20:49:03.846Z,2024-03-24T05:47:32.392Z
Cultural Immersion in New York City,"{'url':'02368930a8282e6b3f3e6dffc68c6996f86511b02d9362d5e255ac32360272a1.jpg','size':518286,'width':1920,'height':1280,'filename':'luca-bravo-TaCk3NspYe0-unsplash.jpg'}","Dive deep into New York City's rich cultural tapestry on this immersive vacation. Explore vibrant neighborhoods, such as Harlem, Chinatown, and Little Italy, each with its unique history and atmosphere. Visit the historic Apollo Theater, the Tenement Museum, and the Lower East Side's thriving art scene. Experience the city's diverse culinary offerings with food tours, cooking classes, and dining at ethnic eateries. 

Attend cultural events, concerts, or off-Broadway performances that showcase the city's artistic energy. Wander through iconic markets like Chelsea Market and sample the creativity of New York City's street food scene.","New York City, USA",2023-08-21,2023-08-25,"New York City, the bustling metropolis known as the ""City That Never Sleeps,"" offers a wealth of experiences for travelers. To ensure a smooth and unforgettable visit, keep these important travel details in mind:

1. Passport & Visa: Make sure your passport is valid for at least six months beyond your planned departure date. Visitors from many countries can enter the US for short stays (up to 90 days) under the Visa Waiver Program.

2. Best Time to Visit: New York City is a year-round destination, but the optimal time to visit is during the spring (April to June) and fall (September to November), when the weather is mild and the city's parks showcase their beautiful foliage. 

3. Currency: The currency used in the United States is the US Dollar (USD). Credit cards are widely accepted, but it's essential to carry some cash for smaller establishments, street vendors, or emergencies. 

4. Language: English is the primary language spoken in New York City. However, due to its diverse population, you'll also hear many other languages spoken throughout the city. 

5. Transportation: New York City boasts an extensive public transportation system, including subways, buses, and ferries. Purchasing a MetroCard provides access to unlimited travel within specified zones.

6. Safety: New York City is generally safe, but, as in any major city, it's essential to remain vigilant and aware of your surroundings. ",FALSE,https://www.youtube.com/embed/0qtdheM1cGw?si=HjdBpXOA63A9CFrU,2023-04-18T20:49:03.835Z,2024-03-24T05:47:50.873Z
Urban Exploration & Hidden Gems of New York City,"{'url':'4a03b384d8060c620c704b99f4345997d46fe2c2893728023b9adbc0b1cfb283.jpg','size':527225,'width':1920,'height':1280,'filename':'hin-bong-yeung-jF946mh5QrA-unsplash (1).jpg'}","Uncover the lesser-known treasures of New York City on this off-the-beaten-path vacation. Venture beyond Manhattan to explore vibrant neighborhoods such as Brooklyn's Williamsburg, Queens' Long Island City, and the Bronx's Arthur Avenue. Discover the city's unique green spaces, including the High Line, Brooklyn Botanic Garden, and the lesser-known Socrates Sculpture Park. 

Visit niche museums like the New York Transit Museum, the Museum of the Moving Image, and the quirky City Reliquary. Embark on a guided street art tour in Bushwick or hunt for vintage treasures at the Brooklyn Flea Market. Savor the diverse culinary scene at local food trucks, hidden speakeasies, and rooftop bars with stunning skyline views, experiencing a different side of New York City.","New York City, USA",2024-02-12,2024-02-16,"New York City, the bustling metropolis known as the ""City That Never Sleeps,"" offers a wealth of experiences for travelers. To ensure a smooth and unforgettable visit, keep these important travel details in mind:

1. Passport & Visa: Make sure your passport is valid for at least six months beyond your planned departure date. Visitors from many countries can enter the US for short stays (up to 90 days) under the Visa Waiver Program.

2. Best Time to Visit: New York City is a year-round destination, but the optimal time to visit is during the spring (April to June) and fall (September to November), when the weather is mild and the city's parks showcase their beautiful foliage. 

3. Currency: The currency used in the United States is the US Dollar (USD). Credit cards are widely accepted, but it's essential to carry some cash for smaller establishments, street vendors, or emergencies. 

4. Language: English is the primary language spoken in New York City. However, due to its diverse population, you'll also hear many other languages spoken throughout the city. 

5. Transportation: New York City boasts an extensive public transportation system, including subways, buses, and ferries. Purchasing a MetroCard provides access to unlimited travel within specified zones.

6. Safety: New York City is generally safe, but, as in any major city, it's essential to remain vigilant and aware of your surroundings. ",TRUE,https://www.youtube.com/embed/0qtdheM1cGw?si=HjdBpXOA63A9CFrU,2023-04-18T20:49:03.822Z,2024-03-24T05:48:17.702Z
Historical Immersion in Bangkok,"{'url':'3afe23fa2bbd5eac61f32411723b25af5ac49b08b5fb1f6006fddc1fe5a0fe31.jpg','size':746372,'width':1920,'height':1080,'filename':'miltiadis-fragkidis-uDDGsbYdk3k-unsplash.jpg'}","Immerse yourself in the rich culture and history of Bangkok on this enlightening vacation. Explore majestic temples such as the Grand Palace, Wat Pho, and Wat Arun, admiring their stunning architecture and sacred relics. Discover Bangkok's vibrant street life by wandering through bustling markets like Chatuchak Weekend Market and the colorful flower market, Pak Khlong Talat. 

Delve into the city's history at the Bangkok National Museum, Jim Thompson House, and the Erawan Museum. Complete your cultural journey with a traditional Thai puppet show or a mesmerizing performance of classical dance.","Bangkok, Thailand",2023-10-04,2023-10-18,"Bangkok, the vibrant and bustling capital of Thailand, is a captivating blend of modernity and tradition. To ensure a smooth and enjoyable trip, consider these important travel details:

1. Passport & Visa: Ensure your passport is valid for at least six months beyond your planned departure date. 

2. Best Time to Visit: Bangkok is a year-round destination, but the optimal time to visit is during the cool, dry season (November to February), when the weather is more comfortable. The hot season (March to May) is characterized by high temperatures and humidity, while the rainy season (June to October) brings heavy downpours and occasional flooding.

3. Currency: The currency used in Thailand is the Thai Baht (THB). Credit cards are accepted at major establishments, but it's essential to carry cash for smaller businesses, street vendors, or emergencies.

4. Language: Thai is the official language of Thailand. While English is spoken in tourist areas, learning a few basic Thai phrases can enhance your experience and demonstrate respect for the local culture. A simple ""Sawasdee"" (hello) or ""Khop khun"" (thank you) goes a long way.

5. Transportation: Bangkok's public transportation system includes the Skytrain (BTS), underground Metro (MRT), buses, and river ferries. Purchasing a stored-value Rabbit Card or single-journey tokens provides access to the BTS and MRT. 

6. Safety: Bangkok is generally safe, but, as in any major city, it's essential to remain vigilant and aware of your surroundings. 
",FALSE,https://www.youtube.com/embed/h8JXa3dz0_E?si=H_9Kg8glGLeCcOWe,2023-04-18T20:49:03.812Z,2024-03-24T05:51:38.113Z
Urban Oasis and Wellness Retreat in Bangkok,"{'url':'be80049618dd664a0c0cc017fdb80958c0c1d2fc4e9eefafeae3245c1ecf6848.jpg','size':520333,'width':1920,'height':1281,'filename':'benjamin-hershey-52ABjuV7nOM-unsplash.jpg'}","Escape the hustle and bustle of the city on this serene wellness retreat in Bangkok. Stay at a tranquil boutique hotel or a luxury riverside resort, where you can rejuvenate your body and mind with traditional Thai massages, spa treatments, and meditation sessions. Embrace Bangkok's green spaces by visiting lush parks such as Lumphini Park, Chatuchak Park, or the serene Benjakitti Park. 

Discover hidden gems like the Artist's House, a tranquil haven featuring traditional Thai architecture and puppet shows. Round off your wellness journey with a leisurely cruise along the Chao Phraya River, taking in the sights of Bangkok from a different perspective.","Bangkok, Thailand",2024-01-12,2024-01-27,"Bangkok, the vibrant and bustling capital of Thailand, is a captivating blend of modernity and tradition. To ensure a smooth and enjoyable trip, consider these important travel details:

1. Passport & Visa: Ensure your passport is valid for at least six months beyond your planned departure date. 

2. Best Time to Visit: Bangkok is a year-round destination, but the optimal time to visit is during the cool, dry season (November to February), when the weather is more comfortable. The hot season (March to May) is characterized by high temperatures and humidity, while the rainy season (June to October) brings heavy downpours and occasional flooding.

3. Currency: The currency used in Thailand is the Thai Baht (THB). Credit cards are accepted at major establishments, but it's essential to carry cash for smaller businesses, street vendors, or emergencies.

4. Language: Thai is the official language of Thailand. While English is spoken in tourist areas, learning a few basic Thai phrases can enhance your experience and demonstrate respect for the local culture. A simple ""Sawasdee"" (hello) or ""Khop khun"" (thank you) goes a long way.

5. Transportation: Bangkok's public transportation system includes the Skytrain (BTS), underground Metro (MRT), buses, and river ferries. Purchasing a stored-value Rabbit Card or single-journey tokens provides access to the BTS and MRT. 

6. Safety: Bangkok is generally safe, but, as in any major city, it's essential to remain vigilant and aware of your surroundings. ",FALSE,https://www.youtube.com/embed/h8JXa3dz0_E?si=H_9Kg8glGLeCcOWe,2023-04-18T20:49:03.803Z,2024-03-24T05:51:56.218Z
Bangkok's Culinary Adventure,"{'url':'ff2be8813a4f1dce1913002dfce5a4894e6a9d963776f9e8cdd07495d0fb0810.jpg','size':881014,'width':1920,'height':1440,'filename':'lisheng-chang-m9BBVrPl87M-unsplash.jpg'}","Embark on a gastronomic journey through the bustling streets of Bangkok, exploring the city's diverse culinary landscape. From sizzling street food stalls to Michelin-starred restaurants, indulge in authentic Thai cuisine, including iconic dishes like pad Thai, green curry, and mango sticky rice. Participate in a Thai cooking class, learning the secrets of fragrant spices and flavors from expert chefs. 

Experience a guided street food tour, sampling the best of Bangkok's culinary offerings, and unwind at a local rooftop bar, sipping cocktails as you take in panoramic city views.","Bangkok, Thailand",2024-04-17,2024-04-25,"Bangkok, the vibrant and bustling capital of Thailand, is a captivating blend of modernity and tradition. To ensure a smooth and enjoyable trip, consider these important travel details:

1. Passport & Visa: Ensure your passport is valid for at least six months beyond your planned departure date. 

2. Best Time to Visit: Bangkok is a year-round destination, but the optimal time to visit is during the cool, dry season (November to February), when the weather is more comfortable. The hot season (March to May) is characterized by high temperatures and humidity, while the rainy season (June to October) brings heavy downpours and occasional flooding.

3. Currency: The currency used in Thailand is the Thai Baht (THB). Credit cards are accepted at major establishments, but it's essential to carry cash for smaller businesses, street vendors, or emergencies.

4. Language: Thai is the official language of Thailand. While English is spoken in tourist areas, learning a few basic Thai phrases can enhance your experience and demonstrate respect for the local culture. A simple ""Sawasdee"" (hello) or ""Khop khun"" (thank you) goes a long way.

5. Transportation: Bangkok's public transportation system includes the Skytrain (BTS), underground Metro (MRT), buses, and river ferries. Purchasing a stored-value Rabbit Card or single-journey tokens provides access to the BTS and MRT. 

6. Safety: Bangkok is generally safe, but, as in any major city, it's essential to remain vigilant and aware of your surroundings. ",TRUE,https://www.youtube.com/embed/h8JXa3dz0_E?si=H_9Kg8glGLeCcOWe,2023-04-18T20:49:03.793Z,2024-03-24T05:52:09.967Z
